t_from,t_to,jaccard,spearman
10,20,0.6666666666666666,0.9065306122448978
20,40,0.5384615384615384,0.8979591836734693
40,60,0.5384615384615384,0.9177551020408162
60,80,0.8181818181818182,0.8722448979591836
80,100,0.3333333333333333,0.8610204081632653
10,100,0.17647058823529413,0.7289795918367346
20,100,0.25,0.75
40,100,0.3333333333333333,0.8178571428571427
60,100,0.3333333333333333,0.8703061224489796
