t_percent,full_n,full_at_risk_rate,full_recall,full_precision,full_pr_auc,full_roc_auc,active_n,active_at_risk_rate,active_recall,active_precision,active_pr_auc,active_roc_auc,withdrawn_already_gone
10,6489,0.52,0.7145,0.8035,0.8701,0.8411,5566,0.441,0.6237,0.7217,0.7616,0.7903,923
20,6489,0.52,0.7648,0.837,0.9062,0.8796,5359,0.419,0.6523,0.7444,0.799,0.8244,1130
40,6489,0.52,0.8089,0.9001,0.9463,0.9281,5052,0.384,0.6761,0.8123,0.8537,0.8779,1437
60,6489,0.52,0.864,0.9266,0.9698,0.959,4802,0.352,0.7359,0.8433,0.8986,0.9215,1687
80,6489,0.52,0.8987,0.9598,0.9825,0.9764,4630,0.328,0.7831,0.9034,0.9296,0.95,1859
100,6489,0.52,0.9283,0.9727,0.9912,0.9888,4536,0.314,0.8363,0.9311,0.9593,0.9745,1953
